user_id,session_id,results,comment
68b8778e-93fa-40fc-aa99-e0be23235402,89231929-3937-44e2-a1d4-667c8dbb5dd9,"{""llm_experience"": 3, ""Q1"": 4, ""Q2"": 3, ""Q3"": 4, ""Q4"": 2, ""Q5"": 5, ""Q6"": 2, ""Q7"": 3, ""Q8"": 4, ""Q9"": 4, ""Q10"": 2, ""Q11"": 2, ""age"": ""25-34""}",
822ba1b6-3d8d-431c-bc5f-5f5cfb095299,22b72636-8cfb-4f2e-b7c5-dc290d220a8f,"{""llm_experience"": 3, ""Q1"": 5, ""Q2"": 3, ""Q3"": 5, ""Q4"": 1, ""Q5"": 4, ""Q6"": 2, ""Q7"": 3, ""Q8"": 4, ""Q9"": 4, ""Q10"": 3, ""Q11"": 2, ""age"": ""18-24""}",
c5c0d301-1210-4ba3-9070-057821a318ba,93781197-89a5-4cbb-afb0-e59e941a49a9,"{""llm_experience"": 3, ""Q1"": 3, ""Q2"": 4, ""Q3"": 3, ""Q4"": 3, ""Q5"": 5, ""Q6"": 3, ""Q7"": 4, ""Q8"": 4, ""Q9"": 4, ""Q10"": 3, ""Q11"": 2, ""age"": ""18-24""}",
c9713251-6677-4a11-938c-a21a21cd3ae9,346524b0-6a55-40a3-b358-dffa32106064,"{""llm_experience"": 1, ""Q1"": 5, ""Q2"": 5, ""Q3"": 5, ""Q4"": 4, ""Q5"": 3, ""Q6"": 2, ""Q7"": 4, ""Q8"": 3, ""Q9"": 5, ""Q10"": 4, ""Q11"": 3, ""age"": ""55+""}",
961ca6cb-d9aa-4f5c-b8bb-a6fc6d89b554,bbc749c4-48d2-4641-9537-bb962e1b7cdf,"{""llm_experience"": 4, ""Q1"": 5, ""Q2"": 5, ""Q3"": 4, ""Q4"": 3, ""Q5"": 5, ""Q6"": 1, ""Q7"": 4, ""Q8"": 3, ""Q9"": 4, ""Q10"": 3, ""Q11"": 1, ""age"": ""25-34""}",
259ed8d5-6ce5-4318-bdb8-14043f6ad4cc,e98c0223-7949-47af-a7f9-9dfe19c04afa,"{""llm_experience"": 3, ""Q1"": 4, ""Q2"": 4, ""Q3"": 4, ""Q4"": 2, ""Q5"": 5, ""Q6"": 2, ""Q7"": 4, ""Q8"": 3, ""Q9"": 4, ""Q10"": 3, ""Q11"": 1, ""age"": ""25-34""}",
3a098b40-a785-43e9-871d-b8844dcf65a9,a35c4583-90e9-4758-ab1f-c52aac15aaba,"{""llm_experience"": 3, ""Q1"": 5, ""Q2"": 4, ""Q3"": 4, ""Q4"": 3, ""Q5"": 2, ""Q6"": 3, ""Q7"": 2, ""Q8"": 4, ""Q9"": 5, ""Q10"": 4, ""Q11"": 1, ""age"": ""25-34""}",
28d69a4d-306b-47af-89bb-cc5208431795,7ad92380-8805-4f04-a6b0-4dd972258ba8,"{""llm_experience"": 4, ""Q1"": 5, ""Q2"": 4, ""Q3"": 4, ""Q4"": 2, ""Q5"": 5, ""Q6"": 2, ""Q7"": 4, ""Q8"": 4, ""Q9"": 3, ""Q10"": 2, ""Q11"": 2, ""age"": ""25-34""}",
216e04bc-4a3b-4dd4-aad4-5b2d5a50f2c6,d5847d2d-7b98-4d09-a466-5e5ae5279b1c,"{""llm_experience"": 3, ""Q1"": 4, ""Q2"": 3, ""Q3"": 3, ""Q4"": 4, ""Q5"": 4, ""Q6"": 2, ""Q7"": 4, ""Q8"": 4, ""Q9"": 3, ""Q10"": 3, ""Q11"": 3, ""age"": ""18-24""}",
ad6ef93c-5b34-4af5-898a-ed02a4614201,0594f589-a4fd-4f60-8660-fa1ebd1ff4e7,"{""llm_experience"": 4, ""Q1"": 3, ""Q2"": 4, ""Q3"": 4, ""Q4"": 3, ""Q5"": 3, ""Q6"": 2, ""Q7"": 4, ""Q8"": 5, ""Q9"": 2, ""Q10"": 5, ""Q11"": 2, ""age"": ""25-34""}",
